vid_num,awgn,filter_str,br,psnr
videoSRC01_1280x720_30.yuv,0,0,256,39.06869505470893
videoSRC01_1280x720_30.yuv,0,0,512,41.673093160340116
videoSRC01_1280x720_30.yuv,0,0,768,42.6635002831964
videoSRC01_1280x720_30.yuv,0,0,1000,43.02432882224256
videoSRC01_1280x720_30.yuv,0,0,1500,42.54833566589686
videoSRC01_1280x720_30.yuv,0,0,2000,42.43239616343427
videoSRC01_1280x720_30.yuv,0,0,3000,43.11984644301884
videoSRC01_1280x720_30.yuv,0,0,4000,43.98094639443117
videoSRC02_1280x720_30.yuv,0,0,256,28.670876241410262
videoSRC02_1280x720_30.yuv,0,0,512,33.947905486822506
videoSRC02_1280x720_30.yuv,0,0,768,36.62413176723088
videoSRC02_1280x720_30.yuv,0,0,1000,38.27569960368708
videoSRC02_1280x720_30.yuv,0,0,1500,40.72747416475143
videoSRC02_1280x720_30.yuv,0,0,2000,42.31596590324917
videoSRC02_1280x720_30.yuv,0,0,3000,44.31646015265901
videoSRC02_1280x720_30.yuv,0,0,4000,45.523703869205384
videoSRC03_1280x720_30.yuv,0,0,256,32.04800746978802
videoSRC03_1280x720_30.yuv,0,0,512,35.73305848477157
videoSRC03_1280x720_30.yuv,0,0,768,38.002013265384356
videoSRC03_1280x720_30.yuv,0,0,1000,39.42982668018708
videoSRC03_1280x720_30.yuv,0,0,1500,41.38716300993357
videoSRC03_1280x720_30.yuv,0,0,2000,42.55904932574238
videoSRC03_1280x720_30.yuv,0,0,3000,43.94633167788194
videoSRC03_1280x720_30.yuv,0,0,4000,44.73427632425594
videoSRC04_1280x720_30.yuv,0,0,256,25.67721979018047
videoSRC04_1280x720_30.yuv,0,0,512,26.96241077620617
videoSRC04_1280x720_30.yuv,0,0,768,26.991066504778647
videoSRC04_1280x720_30.yuv,0,0,1000,27.018063951736217
videoSRC04_1280x720_30.yuv,0,0,1500,27.436702793659286
videoSRC04_1280x720_30.yuv,0,0,2000,28.111642515364068
videoSRC04_1280x720_30.yuv,0,0,3000,29.572734627345397
